Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-13 02:00:00,1.4,250.0,251.7192449900421,38.27883096525158,2000
2017-01-13 03:00:00,2.5,250.0,260.1764785771153,34.48064967532056,2000
2017-01-13 04:00:00,1.1,20.0,260.1764785771153,41.923015231944945,2000
2017-01-13 05:00:00,1.4,270.0,257.7741130204908,44.63181476708425,2000
2017-01-13 06:00:00,1.2,270.0,256.3431941812811,46.724978044237346,2000
2017-01-13 07:00:00,1.3,360.0,245.1831941812811,51.404978044237346,2000
2017-01-13 08:00:00,1.6,340.0,239.51691340376084,47.71699955571073,2000
2017-01-13 09:00:00,1.5,340.0,232.33908413772048,42.03607572656418,838
2017-01-13 10:00:00,1.5,20.0,220.34349505927406,43.416598330890864,1119
2017-01-13 11:00:00,1.3,250.0,212.90112950264967,37.506490254223294,229
2017-01-13 12:00:00,2.3,270.0,206.78112950264966,37.5064902542233,1935
2017-01-13 13:00:00,2.5,270.0,201.2346877328838,32.21201843554194,1991
2017-01-13 14:00:00,3.6,250.0,198.52837298502038,22.36183830776267,1927
2017-01-13 15:00:00,3.3,270.0,191.12588040649356,15.34358496671994,1985
2017-01-13 16:00:00,5.3,270.0,195.08588040649354,15.343584966719936,1971
2017-01-13 17:00:00,5.6,290.0,196.39008364153744,22.238711056165425,2000
2017-01-13 18:00:00,4.3,270.0,201.43008364153746,22.238711056165425,2000
2017-01-13 19:00:00,4.9,290.0,204.6862614722009,28.27194638443023,2000
2017-01-13 20:00:00,5.9,270.0,211.88626147220089,28.271946384430226,2000
2017-01-13 21:00:00,4.4,270.0,213.6862614722009,28.271946384430226,2000
2017-01-13 22:00:00,2.5,320.0,211.19134995937975,35.16634637250103,1987
2017-01-13 23:00:00,2.2,270.0,206.2563549070285,30.487510811805876,2000
2017-01-14 00:00:00,2.4,270.0,205.17635490702853,30.487510811805876,2000
2017-01-14 01:00:00,2.9,270.0,208.85056803736998,32.9500558437507,2000
2017-01-14 02:00:00,2.3,290.0,211.89517212871633,37.50576415284861,2000
2017-01-14 03:00:00,3.2,320.0,210.8428518052321,49.40877742751026,2000
2017-01-14 04:00:00,2.5,290.0,220.6544851598749,48.765775939129085,1996
2017-01-14 05:00:00,3.5,290.0,227.45461218177735,53.07522974503251,2000
2017-01-14 06:00:00,4.2,290.0,237.34276460806026,58.24657431211663,2000
2017-01-14 07:00:00,3.4,290.0,248.8446022864798,57.75290086642282,2000
2017-01-14 08:00:00,3.6,270.0,259.83456626092396,52.34027137069598,2000
2017-01-14 09:00:00,4.4,270.0,273.8276574869653,47.26593121845207,2000
